,product-id,base-url,date,clouds
10,S2A_MSIL1C_20170712T142041_N0205_R010_T20JLL_20170712T142710.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170712T142041_N0205_R010_T20JLL_20170712T142710.SAFE,2017-07-12,55.9876
11,S2B_MSIL1C_20170727T142039_N0205_R010_T20JLL_20170727T142105.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20170727T142039_N0205_R010_T20JLL_20170727T142105.SAFE,2017-07-27,72.7073
12,S2B_MSIL1C_20170816T142039_N0205_R010_T20JLL_20170816T142143.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20170816T142039_N0205_R010_T20JLL_20170816T142143.SAFE,2017-08-16,16.2143
13,S2A_MSIL1C_20170821T142041_N0205_R010_T20JLL_20170821T143004.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170821T142041_N0205_R010_T20JLL_20170821T143004.SAFE,2017-08-21,1.1313
14,S2B_MSIL1C_20170905T142029_N0205_R010_T20JLL_20170905T142743.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20170905T142029_N0205_R010_T20JLL_20170905T142743.SAFE,2017-09-05,1.9091999999999998
15,S2B_MSIL1C_20170925T142029_N0205_R010_T20JLL_20170925T142023.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20170925T142029_N0205_R010_T20JLL_20170925T142023.SAFE,2017-09-25,6.9668
16,S2A_MSIL1C_20170930T142031_N0205_R010_T20JLL_20170930T142935.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170930T142031_N0205_R010_T20JLL_20170930T142935.SAFE,2017-09-30,2.0003
17,S2B_MSIL1C_20171015T142029_N0205_R010_T20JLL_20171015T142939.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20171015T142029_N0205_R010_T20JLL_20171015T142939.SAFE,2017-10-15,4.9845
18,S2A_MSIL1C_20171020T142041_N0205_R010_T20JLL_20171020T142058.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20171020T142041_N0205_R010_T20JLL_20171020T142058.SAFE,2017-10-20,27.0849
19,S2B_MSIL1C_20171104T142029_N0206_R010_T20JLL_20171104T191711.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20171104T142029_N0206_R010_T20JLL_20171104T191711.SAFE,2017-11-04,17.0468
20,S2A_MSIL1C_20171109T142041_N0206_R010_T20JLL_20171109T160349.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20171109T142041_N0206_R010_T20JLL_20171109T160349.SAFE,2017-11-09,33.1015
21,S2B_MSIL1C_20171114T142029_N0206_R010_T20JLL_20171114T185810.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20171114T142029_N0206_R010_T20JLL_20171114T185810.SAFE,2017-11-14,0.0
22,S2B_MSIL1C_20171124T142029_N0206_R010_T20JLL_20171124T192400.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20171124T142029_N0206_R010_T20JLL_20171124T192400.SAFE,2017-11-24,68.6697
23,S2A_MSIL1C_20171129T142031_N0206_R010_T20JLL_20171129T173604.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20171129T142031_N0206_R010_T20JLL_20171129T173604.SAFE,2017-11-29,14.1494
24,S2B_MSIL1C_20171214T142029_N0206_R010_T20JLL_20171214T173517.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20171214T142029_N0206_R010_T20JLL_20171214T173517.SAFE,2017-12-14,0.0367
25,S2B_MSIL1C_20171224T142029_N0206_R010_T20JLL_20171224T205836.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20171224T142029_N0206_R010_T20JLL_20171224T205836.SAFE,2017-12-24,2.8563
26,S2B_MSIL1C_20180103T142029_N0206_R010_T20JLL_20180103T173024.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20180103T142029_N0206_R010_T20JLL_20180103T173024.SAFE,2018-01-03,2.2362
27,S2A_MSIL1C_20180108T142031_N0206_R010_T20JLL_20180108T173838.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20180108T142031_N0206_R010_T20JLL_20180108T173838.SAFE,2018-01-08,13.1258
28,S2B_MSIL1C_20180123T142029_N0206_R010_T20JLL_20180123T173411.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20180123T142029_N0206_R010_T20JLL_20180123T173411.SAFE,2018-01-23,22.517
29,S2A_MSIL1C_20180128T142031_N0206_R010_T20JLL_20180128T174300.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20180128T142031_N0206_R010_T20JLL_20180128T174300.SAFE,2018-01-28,16.8649
30,S2B_MSIL1C_20180202T142029_N0206_R010_T20JLL_20180202T191444.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20180202T142029_N0206_R010_T20JLL_20180202T191444.SAFE,2018-02-02,0.3227
31,S2A_MSIL1C_20180207T142031_N0206_R010_T20JLL_20180207T205209.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20180207T142031_N0206_R010_T20JLL_20180207T205209.SAFE,2018-02-07,26.4391
